pos,input_token,wall_ms,embed_gpu_ms,attention_gpu_ms,router_gpu_ms,experts_gpu_ms,final_gpu_ms,phase_total_ms,unattributed_gap_ms,h2d_bytes,d2h_bytes,d2d_bytes,vram_used_bytes
0,6023,34.927200,0.905600,16.254499,3.275300,12.493900,1.679100,34.608398,0.318802,0,3076,196608,6438780928
1,353,34.117000,0.029700,16.193100,3.394200,12.523700,1.690000,33.830696,0.286304,0,3076,196608,6438780928
2,220,33.962000,0.033300,16.184401,3.234800,12.499600,1.707100,33.659203,0.302797,0,3076,196608,6438780928
3,16,34.331800,0.034500,16.258600,3.465500,12.536100,1.715800,34.010502,0.321298,0,3076,196608,6438780928
4,15,34.308100,0.037100,16.155600,3.594900,12.541200,1.690800,34.019600,0.288500,0,3076,196608,6438780928
5,15,34.846500,0.086200,16.289499,3.754200,12.733000,1.692700,34.555599,0.290901,0,3076,196608,6438780928
6,15,34.143300,0.041500,16.203100,3.355200,12.514100,1.681800,33.795700,0.347600,0,3076,196608,6438780928
7,15,34.268900,0.056300,16.188101,3.462000,12.536100,1.680400,33.922901,0.345999,0,3076,196608,6438780928
8,15,34.268500,0.050600,16.197500,3.421300,12.616100,1.655400,33.940899,0.327601,0,3076,196608,6438780928
9,15,34.364200,0.037500,16.154100,3.413700,12.750500,1.692400,34.048203,0.315997,0,3076,196608,6438780928
10,15,51.416700,0.030300,16.333200,3.569400,29.527500,1.654300,51.114704,0.301996,0,3076,196608,6438780928
11,15,48.711500,0.035800,16.372200,3.608700,26.632799,1.713900,48.363400,0.348100,0,3076,196608,6438780928
12,15,44.178900,0.057100,16.485901,3.749400,21.945499,1.659600,43.897499,0.281401,0,3076,196608,6438780928
13,15,49.318900,0.030100,16.343901,3.476600,27.479601,1.697400,49.027599,0.291301,0,3076,196608,6438780928
14,15,64.039400,0.032100,16.806801,4.096700,41.119499,1.670700,63.725800,0.313600,0,3076,196608,6438780928
15,15,49.081900,0.052400,16.521601,3.659300,26.814699,1.747900,48.795898,0.286002,0,3076,196608,6438780928
16,15,67.752200,0.048500,16.752001,3.524400,45.356899,1.699100,67.380898,0.371302,0,3076,196608,6438780928
17,15,66.021800,0.037400,16.891100,3.561900,43.526402,1.712000,65.728798,0.293002,0,3076,196608,6438780928
18,15,54.171300,0.041100,16.475401,3.673800,32.015499,1.687500,53.893299,0.278001,0,3076,196608,6438780928
19,15,61.742500,0.036800,16.833799,3.565300,39.296902,1.724200,61.457005,0.285495,0,3076,196608,6438780928
20,15,67.079400,0.036100,17.040800,4.083800,43.920700,1.702600,66.783997,0.295403,0,3076,196608,6438780928
21,15,54.746200,0.033500,16.531300,3.577200,32.615601,1.686900,54.444500,0.301700,0,3076,196608,6438780928
22,15,68.268700,0.032900,16.708401,3.944300,45.574799,1.689200,67.949600,0.319100,0,3076,196608,6438780928
23,15,74.987800,0.028500,16.684601,3.668400,52.649200,1.680900,74.711601,0.276199,0,3076,196608,6438780928
24,15,63.231400,0.030800,16.646299,3.674100,40.904598,1.679200,62.934998,0.296402,0,3076,196608,6438780928
25,15,78.978400,0.035000,16.878599,3.544200,56.569000,1.657200,78.683998,0.294402,0,3076,196608,6438780928
26,15,76.820200,0.037200,16.953899,3.836200,54.014900,1.657300,76.499504,0.320696,0,3076,196608,6438780928
27,15,63.052200,0.030300,16.559900,3.626400,40.731300,1.721400,62.669300,0.382900,0,3076,196608,6438780928
28,15,83.025700,0.147600,17.123400,3.981300,59.730400,1.668700,82.651398,0.374302,0,3076,196608,6438780928
29,15,88.063900,0.051400,16.982201,3.811200,65.215202,1.681400,87.741394,0.322506,0,3076,196608,6438780928
30,15,82.714100,0.029300,16.935499,3.703400,60.040100,1.703800,82.412094,0.302006,0,3076,196608,6438780928
31,15,78.617400,0.045000,16.837900,3.672100,56.005600,1.673000,78.233597,0.383803,0,3076,196608,6438780928
32,15,91.876100,0.034500,17.267799,3.842300,68.754097,1.696300,91.594994,0.281106,0,3076,196608,6438780928
